MESA;DEPARTAMENTO;MUNICIPIO;PADRÓN;COMUNIDAD;NOMBRE DEL ESTABLECIMIENTO;UBICACIÓN/DIRECCIÓN
6144;Chimaltenango;San Martín Jilotepeque;380;CEM - LAS ESCOBAS;ESCUELA OFICIAL RURAL MIXTA CASERÍO LAS ESCOBAS;CENTRO DE LA COMUNIDAD
6145;Chimaltenango;San Martín Jilotepeque;380;CEM - LAS ESCOBAS;ESCUELA OFICIAL RURAL MIXTA CASERÍO LAS ESCOBAS;CENTRO DE LA COMUNIDAD
6146;Chimaltenango;San Martín Jilotepeque;219;CEM - LAS ESCOBAS;ESCUELA OFICIAL RURAL MIXTA CASERÍO LAS ESCOBAS;CENTRO DE LA COMUNIDAD
6147;Chimaltenango;San Martín Jilotepeque;218;CEM - LAS ESCOBAS;ESCUELA OFICIAL RURAL MIXTA CASERÍO LAS ESCOBAS;CENTRO DE LA COMUNIDAD
6148;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6149;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6150;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6151;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6152;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6153;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6154;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6155;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6156;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6157;Chimaltenango;San Martín Jilotepeque;380;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6158;Chimaltenango;San Martín Jilotepeque;311;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6159;Chimaltenango;San Martín Jilotepeque;311;CEM - LOS JOMETES;ESCUELA OFICIAL RURAL MIXTA, MIGUEL ANGEL ALBUREZ PINZÓN;CENTRO DE LA COMUNIDAD CASERÍO LOS JOMETES
6160;Chimaltenango;San Martín Jilotepeque;380;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6161;Chimaltenango;San Martín Jilotepeque;380;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6162;Chimaltenango;San Martín Jilotepeque;380;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6163;Chimaltenango;San Martín Jilotepeque;380;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6164;Chimaltenango;San Martín Jilotepeque;380;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6165;Chimaltenango;San Martín Jilotepeque;380;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6166;Chimaltenango;San Martín Jilotepeque;380;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6167;Chimaltenango;San Martín Jilotepeque;380;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6168;Chimaltenango;San Martín Jilotepeque;380;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6169;Chimaltenango;San Martín Jilotepeque;216;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6170;Chimaltenango;San Martín Jilotepeque;215;CEM - CRUZ NUEVA;ESCUELA OFICIAL RURAL MIXTA CASERÍO CRUZ NUEVA;CENTRO DE LA COMUNIDAD CASERÍO CRUZ NUEVA
6171;Chimaltenango;San Martín Jilotepeque;380;CEM - SACALÁ;ESCUELA OFICIAL RURAL MIXTA CASERÍO SACALÁ;CENTRO DE LA COMUNIDAD CASERÍO SACALÁ
6172;Chimaltenango;San Martín Jilotepeque;380;CEM - SACALÁ;ESCUELA OFICIAL RURAL MIXTA CASERÍO SACALÁ;CENTRO DE LA COMUNIDAD CASERÍO SACALÁ
6173;Chimaltenango;San Martín Jilotepeque;380;CEM - SACALÁ;ESCUELA OFICIAL RURAL MIXTA CASERÍO SACALÁ;CENTRO DE LA COMUNIDAD CASERÍO SACALÁ
6174;Chimaltenango;San Martín Jilotepeque;380;CEM - SACALÁ;ESCUELA OFICIAL RURAL MIXTA CASERÍO SACALÁ;CENTRO DE LA COMUNIDAD CASERÍO SACALÁ
6175;Chimaltenango;San Martín Jilotepeque;282;CEM - SACALÁ;ESCUELA OFICIAL RURAL MIXTA CASERÍO SACALÁ;CENTRO DE LA COMUNIDAD CASERÍO SACALÁ
6176;Chimaltenango;San Martín Jilotepeque;281;CEM - SACALÁ;ESCUELA OFICIAL RURAL MIXTA CASERÍO SACALÁ;CENTRO DE LA COMUNIDAD CASERÍO SACALÁ
6177;Chimaltenango;San Martín Jilotepeque;380;CEM - VARITUC O VARITUC EL CARMEN;ESCUELA OFICIAL RURAL MIXTA ALDEA VARITUC;CENTRO DE LA COMUNIDAD ALDEA VARITUC
6178;Chimaltenango;San Martín Jilotepeque;380;CEM - VARITUC O VARITUC EL CARMEN;ESCUELA OFICIAL RURAL MIXTA ALDEA VARITUC;CENTRO DE LA COMUNIDAD ALDEA VARITUC
6179;Chimaltenango;San Martín Jilotepeque;380;CEM - VARITUC O VARITUC EL CARMEN;ESCUELA OFICIAL RURAL MIXTA ALDEA VARITUC;CENTRO DE LA COMUNIDAD ALDEA VARITUC
6180;Chimaltenango;San Martín Jilotepeque;380;CEM - VARITUC O VARITUC EL CARMEN;ESCUELA OFICIAL RURAL MIXTA ALDEA VARITUC;CENTRO DE LA COMUNIDAD ALDEA VARITUC
6181;Chimaltenango;San Martín Jilotepeque;380;CEM - VARITUC O VARITUC EL CARMEN;ESCUELA OFICIAL RURAL MIXTA ALDEA VARITUC;CENTRO DE LA COMUNIDAD ALDEA VARITUC
6182;Chimaltenango;San Martín Jilotepeque;262;CEM - VARITUC O VARITUC EL CARMEN;ESCUELA OFICIAL RURAL MIXTA ALDEA VARITUC;CENTRO DE LA COMUNIDAD ALDEA VARITUC
6183;Chimaltenango;San Martín Jilotepeque;261;CEM - VARITUC O VARITUC EL CARMEN;ESCUELA OFICIAL RURAL MIXTA ALDEA VARITUC;CENTRO DE LA COMUNIDAD ALDEA VARITUC
6184;Chimaltenango;San Martín Jilotepeque;600;CABECERA MUNICIPAL;CENTRO EDUCATIVO SAN JUAN PABLO II;BARRIO EL GÜITE
6185;Chimaltenango;San Martín Jilotepeque;600;CABECERA MUNICIPAL;CENTRO EDUCATIVO SAN JUAN PABLO II;BARRIO EL GÜITE
6186;Chimaltenango;San Martín Jilotepeque;600;CABECERA MUNICIPAL;CENTRO EDUCATIVO SAN JUAN PABLO II;BARRIO EL GÜITE
6187;Chimaltenango;San Martín Jilotepeque;600;CABECERA MUNICIPAL;CENTRO EDUCATIVO SAN JUAN PABLO II;BARRIO EL GÜITE
6188;Chimaltenango;San Martín Jilotepeque;438;CABECERA MUNICIPAL;CENTRO EDUCATIVO SAN JUAN PABLO II;BARRIO EL GÜITE
6189;Chimaltenango;San Martín Jilotepeque;437;CABECERA MUNICIPAL;CENTRO EDUCATIVO SAN JUAN PABLO II;BARRIO EL GÜITE
6190;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6191;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6192;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6193;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6194;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6195;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6196;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6197;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6198;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6199;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6200;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6201;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6202;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6203;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6204;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6205;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MARIANO ROSSEL Y ARELLANO;0 AVENIDA 0-82
6206;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6207;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6208;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6209;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6210;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6211;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6212;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6213;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6214;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6215;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6216;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6217;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6218;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6219;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6220;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6221;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6222;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6223;Chimaltenango;Comalapa;266;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6224;Chimaltenango;Comalapa;265;CABECERA MUNICIPAL;ESCUELA RAFAEL ALVAREZ OVALLE;0 AVENIDA 0-44
6225;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;CENTRO EDUCATIVO COMUNITARIO KAQCHIKEL MEDALLA;0 CALLE 4-40 MILAGROSA
6226;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;CENTRO EDUCATIVO COMUNITARIO KAQCHIKEL MEDALLA;0 CALLE 4-40 MILAGROSA
6227;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;CENTRO EDUCATIVO COMUNITARIO KAQCHIKEL MEDALLA;0 CALLE 4-40 MILAGROSA
6228;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;CENTRO EDUCATIVO COMUNITARIO KAQCHIKEL MEDALLA;0 CALLE 4-40 MILAGROSA
6229;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;CENTRO EDUCATIVO COMUNITARIO KAQCHIKEL MEDALLA;0 CALLE 4-40 MILAGROSA
6230;Chimaltenango;Comalapa;400;CABECERA MUNICIPAL;CENTRO EDUCATIVO COMUNITARIO KAQCHIKEL MEDALLA;0 CALLE 4-40 MILAGROSA
6231;Chimaltenango;Comalapa;273;CABECERA MUNICIPAL;CENTRO EDUCATIVO COMUNITARIO KAQCHIKEL MEDALLA;0 CALLE 4-40 MILAGROSA
6232;Chimaltenango;Comalapa;272;CABECERA MUNICIPAL;CENTRO EDUCATIVO COMUNITARIO KAQCHIKEL MEDALLA;0 CALLE 4-40 MILAGROSA
6233;Chimaltenango;Comalapa;380;CEM - PANABAJAL;ESCUELA OFICIAL RURAL MIXTA ALDEA PANABAJAL;CENTRO DE LA COMUNIDAD ALDEA PANABABAL
6234;Chimaltenango;Comalapa;380;CEM - PANABAJAL;ESCUELA OFICIAL RURAL MIXTA ALDEA PANABAJAL;CENTRO DE LA COMUNIDAD ALDEA PANABABAL
6235;Chimaltenango;Comalapa;380;CEM - PANABAJAL;ESCUELA OFICIAL RURAL MIXTA ALDEA PANABAJAL;CENTRO DE LA COMUNIDAD ALDEA PANABABAL
6236;Chimaltenango;Comalapa;380;CEM - PANABAJAL;ESCUELA OFICIAL RURAL MIXTA ALDEA PANABAJAL;CENTRO DE LA COMUNIDAD ALDEA PANABABAL
6237;Chimaltenango;Comalapa;299;CEM - PANABAJAL;ESCUELA OFICIAL RURAL MIXTA ALDEA PANABAJAL;CENTRO DE LA COMUNIDAD ALDEA PANABABAL
6238;Chimaltenango;Comalapa;298;CEM - PANABAJAL;ESCUELA OFICIAL RURAL MIXTA ALDEA PANABAJAL;CENTRO DE LA COMUNIDAD ALDEA PANABABAL
6239;Chimaltenango;Comalapa;380;CEM - SIMAJ HULEU;ESCUELA OFICIAL RURAL MIXTA ALDEA SIMAJ HULEU;CENTRO DE LA COMUNIDAD ALDEA SIMAJ HULEU
6240;Chimaltenango;Comalapa;380;CEM - SIMAJ HULEU;ESCUELA OFICIAL RURAL MIXTA ALDEA SIMAJ HULEU;CENTRO DE LA COMUNIDAD ALDEA SIMAJ HULEU
6241;Chimaltenango;Comalapa;380;CEM - SIMAJ HULEU;ESCUELA OFICIAL RURAL MIXTA ALDEA SIMAJ HULEU;CENTRO DE LA COMUNIDAD ALDEA SIMAJ HULEU
6242;Chimaltenango;Comalapa;380;CEM - SIMAJ HULEU;ESCUELA OFICIAL RURAL MIXTA ALDEA SIMAJ HULEU;CENTRO DE LA COMUNIDAD ALDEA SIMAJ HULEU
6243;Chimaltenango;Comalapa;294;CEM - SIMAJ HULEU;ESCUELA OFICIAL RURAL MIXTA ALDEA SIMAJ HULEU;CENTRO DE LA COMUNIDAD ALDEA SIMAJ HULEU
6244;Chimaltenango;Comalapa;293;CEM - SIMAJ HULEU;ESCUELA OFICIAL RURAL MIXTA ALDEA SIMAJ HULEU;CENTRO DE LA COMUNIDAD ALDEA SIMAJ HULEU
6245;Chimaltenango;Comalapa;380;CEM - PATZAJ;ESCUELA OFICIAL RURAL MIXTA ALDEA PATZAJ;CENTRO DE LA COMUNIDAD ALDEA PATZAJ
6246;Chimaltenango;Comalapa;380;CEM - PATZAJ;ESCUELA OFICIAL RURAL MIXTA ALDEA PATZAJ;CENTRO DE LA COMUNIDAD ALDEA PATZAJ
6247;Chimaltenango;Comalapa;222;CEM - PATZAJ;ESCUELA OFICIAL RURAL MIXTA ALDEA PATZAJ;CENTRO DE LA COMUNIDAD ALDEA PATZAJ
6248;Chimaltenango;Comalapa;222;CEM - PATZAJ;ESCUELA OFICIAL RURAL MIXTA ALDEA PATZAJ;CENTRO DE LA COMUNIDAD ALDEA PATZAJ
6249;Chimaltenango;Comalapa;380;CEM - PAQUIXIC;NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO No105;CENTRO DE LA COMUNIDAD ALDEA ALDEA PAQUIXIC PAQUIXIC
6250;Chimaltenango;Comalapa;248;CEM - PAQUIXIC;NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO No105;CENTRO DE LA COMUNIDAD ALDEA ALDEA PAQUIXIC PAQUIXIC
6251;Chimaltenango;Comalapa;248;CEM - PAQUIXIC;NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO No105;CENTRO DE LA COMUNIDAD ALDEA ALDEA PAQUIXIC PAQUIXIC
6252;Chimaltenango;Comalapa;600;CABECERA MUNICIPAL;SALÓN MUNICIPAL SAN JUAN COMALAPA;CABECERA MUNICIPAL SAN JUAN COMALAPA
6253;Chimaltenango;Comalapa;600;CABECERA MUNICIPAL;SALÓN MUNICIPAL SAN JUAN COMALAPA;CABECERA MUNICIPAL SAN JUAN COMALAPA
6254;Chimaltenango;Comalapa;524;CABECERA MUNICIPAL;SALÓN MUNICIPAL SAN JUAN COMALAPA;CABECERA MUNICIPAL SAN JUAN COMALAPA
6255;Chimaltenango;Comalapa;523;CABECERA MUNICIPAL;SALÓN MUNICIPAL SAN JUAN COMALAPA;CABECERA MUNICIPAL SAN JUAN COMALAPA
6256;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6257;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6258;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6259;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6260;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6261;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6262;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6263;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6264;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6265;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6266;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6267;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6268;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6269;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6270;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6271;Chimaltenango;Santa Apolonia;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6272;Chimaltenango;Santa Apolonia;296;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6273;Chimaltenango;Santa Apolonia;296;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA MARIO MÉNDEZ MONTENEGRO MUNICIPIO DE;SANTA APOLONIA SANTA APOLONIA
6274;Chimaltenango;Santa Apolonia;380;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6275;Chimaltenango;Santa Apolonia;380;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6276;Chimaltenango;Santa Apolonia;380;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6277;Chimaltenango;Santa Apolonia;380;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6278;Chimaltenango;Santa Apolonia;380;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6279;Chimaltenango;Santa Apolonia;380;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6280;Chimaltenango;Santa Apolonia;380;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6281;Chimaltenango;Santa Apolonia;380;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6282;Chimaltenango;Santa Apolonia;380;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6283;Chimaltenango;Santa Apolonia;280;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6284;Chimaltenango;Santa Apolonia;279;CEM - CHIPATA;ESCUELA OFICIAL RURAL MIXTA LAS MEJORANAS;ALDEA CHIPATA ALDEA CHIPATA, SANTA APOLONIA
6285;Chimaltenango;Tecpán Guatemala;400;CABECERA MUNICIPAL;ESCUELA MIGUEL GARCIA GRANADOS TECPAN GUATEMALA;1 CALLE 4-32
6286;Chimaltenango;Tecpán Guatemala;400;CABECERA MUNICIPAL;ESCUELA MIGUEL GARCIA GRANADOS TECPAN GUATEMALA;1 CALLE 4-32
6287;Chimaltenango;Tecpán Guatemala;400;CABECERA MUNICIPAL;ESCUELA MIGUEL GARCIA GRANADOS TECPAN GUATEMALA;1 CALLE 4-32
6288;Chimaltenango;Tecpán Guatemala;400;CABECERA MUNICIPAL;ESCUELA MIGUEL GARCIA GRANADOS TECPAN GUATEMALA;1 CALLE 4-32
